Päivämäärä [dd-mm-yyyy],Tyyppi [Juoksu('j') | Sali ylävartalo('y') | Sali jalat('a') | Hiihto('h') | Kävely('k') | Crossfit('c') | Uinti('u') | Sisäliikunta('s')],Kesto [mmm:ss],Syke avg,Syke max,Matka [km],Arvio omasta jaksamisesta [1-5],Kuvaus
11-07-2024,y,35.07,109,127,,3,kädet
12-07-2024,a,45.00,105,141,,4,mave
15-07-2024,k,150.39,91,122,7.36,,
17-07-2024,j,50.08,136,162,7.51,2,uudet pohjalliset
18-07-2024,y,48.31,93,114,,1,olkapäät
19-07-2024,j,41.21,156,173,7.47,4,
20-07-2024,y,69.18,106,136,,3,tissit
21-07-2024,j,43.59,141,162,7.05,1,
22-07-2024,y,46.41,102,129,,2,kädet
23-07-2024,u,63.32,110,129,1.2,3,
24-07-2024,j,52.17,147,170,7.51,3,jäin auton alle
26-07-2024,y,39.11,104,131,,2,olkapääjumppa
02-08-2024,j,49.18,155,171,8.94,4,
03-08-2024,y,49.37,93,117,,2,tissit
04-08-2024,j,70.17,134,147,10.51,3,
05-08-2024,y,59.10,90,126,,2,kädet+mave
07-08-2024,j,78.58,133,145,12.14,3,
08-08-2024,y,46.05,91,114,,3,olkapäät
10-08-2024,j,64.29,141,174,9.36,3,
11-08-2024,y,70.26,105,130,,4,tissit
12-08-2024,j,72.40,146,168,11.17,3,30astettalämmintä
14-08-2024,y,45,,,,2,kädet
15-08-2024,j,63.09,142,160,11,2,21
17-08-2024,y,45.45,85,103,,1,olkapäät
18-08-2024,j,46.05,140,164,7.50,2,
19-08-2024,y,52.44,96,126,,3,tissit
20-08-2024,j,54.40,144,163,8.51,2,
22-08-2024,y,61.44,96,126,,3,kädet
24-08-2024,j,51.50,132,163,7.36,2,
25-08-2024,y,52.30,108,138,,3,
27-08-2024,j,43.41,144,179,7.5,3,
27-08-2024,y,36.13,94,114,,2,
03-09-2024,j,62.19,124,147,8.42,3,
10-09-2024,y,90,,,,5,pena+kädet+olkapääätä
11-09-2024,j,53.39,125,142,7.19,3,
13-09-2024,a,55.00,,,,4,
16-09-2024,y,60,107,131,,4,
17-09-2024,a,55.02,105,133,,4,
18-09-2024,y,61.22,102,124,,3,
21-09-2024,j,46.20,170,177,10.00,4,
22-09-2024,y,53.21,105,121,,3,
25-09-2024,y,35.00,,,,3,jumppaa
26-09-2024,j,65.06,121,148,8.88,3,paljonkävelyä
30-09-2024,a,45,,,,3,
02-10-2024,y,40,,,,3,olkapääjumppa
04-10-2024,y,60,,,,3,hauis+yläselkä
05-10-2024,j,49.39,152,162,9.16,3,
08-10-2024,y,42.03,104,124,,3,
10-10-2024,a,49.11,106,136,,4,
12-10-2024,y,28.51,99,121,,3,
13-10-2024,j,73.22,154,164,13.9,3,
15-10-2024,a,45,,,,3,kyykkyjä
24-10-2024,a,50.03,114,148,,4,
25-10-2024,y,49.41,107,134,,3,
27-10-2024,j,49.29,152,162,8.73,3,
28-10-2024,y,50.00,99,126,,3,
30-10-2024,a,42.38,104,131,,3,
31-10-2024,y,48.47,107,126,,3,
02-11-2024,j,50.48,145,158,9.10,3,
03-11-2024,y,52.37,106,129,,3,
05-11-2024,a,32.49,108,135,,4,
14-11-2024,y,35.50,107,135,,3,
15-11-2024,a,32.16,103,138,,3,
24-11-2024,a,43.07,103,134,,3,
25-11-2024,y,25.58,110,128,,3,
28-11-2024,a,35.00,,,,3,mave
30-11-2024,j,47.23,155,165,8.34,3,
01-12-2024,a,38.05,119,140,,3,
02-12-2024,y,67.48,104,146,,3,
04-12-2024,y,38.54,103,131,,3,
09-12-2024,a,34.11,98,131,,3,
12-12-2024,y,39.54,98,118,,3,
13-12-2024,j,47.54,148,159,8.28,3,
14-12-2024,a,45.00,,,,3,kyykkyjä
17-12-2024,y,30.00,,,,,
18-12-2024,a,30,,,,,
26-12-2024,j,52.34,150,165,9.64,3,kinkunpolttotreeni
28-12-2024,c,90,,,,,kunkkuareena
29-12-2024,c,90,,,,,kunkkuareena
30-12-2024,c,90,,,,,kunkkuareena
31-12-2024,c,90,,,,,kunkkuareena
